subregion,n
rio grande municipio,3
ripley,23
ritchie,16
riverside,104
roane,22
roanoke,15
roanoke city,39
roberts,16
robertson,31
robeson,17
rock,38
rock island,25
rockbridge,14
rockcastle,9
rockdale,10
rockingham,86
rockland,27
rockwall,9
roger mills,10
rogers,15
rolette,11
rooks,11
roosevelt,23
roscommon,7
roseau,10
rosebud,11
ross,17
routt,10
rowan,31
runnels,9
rush,28
rusk,36
russell,46
rutherford,43
rutland,36
sabana grande municipio,3
sabine,6
sabine parish,14
sac,17
sacramento,75
sagadahoc,12
saginaw,35
saguache,9
salem,15
salem city,4
salinas municipio,3
saline,68
salt lake,67
saluda,12
sampson,21
san augustine,5
san benito,7
san bernardino,123
san diego,180
san francisco,38
san german municipio,1
san jacinto,9
san joaquin,45
san juan,40
san juan municipio,43
san lorenzo municipio,4
san luis obispo,40
san mateo,40
san miguel,24
san patricio,11
san saba,4
san sebastian municipio,1
sanborn,9
sanders,11
sandoval,22
sandusky,19
sangamon,55
sanilac,25
sanpete,15
santa barbara,41
santa clara,106
santa cruz,33
santa fe,21
santa isabel municipio,2
santa rosa,13
sarasota,37
saratoga,27
sargent,11
sarpy,15
sauk,21
saunders,20
sawyer,11
schenectady,22
schleicher,1
schley,7
schoharie,26
schoolcraft,7
schuyler,40
schuylkill,61
scioto,23
scotland,13
scott,121
scotts bluff,9
screven,7
scurry,7
searcy,14
sebastian,24
sedgwick,63
seminole,42
seneca,36
sequatchie,8
sequoyah,9
sevier,31
seward,27
shackelford,5
shannon,8
sharkey,6
sharp,13
shasta,33
shawano,25
shawnee,44
sheboygan,22
shelby,211
shenandoah,18
sherburne,10
sheridan,45
sherman,22
shiawassee,22
shoshone,15
sibley,16
sierra,19
silver bow,10
simpson,15
sioux,33
siskiyou,22
sitka city and borough,1
skagit,17
skagway municipality,1
skamania,8
slope,7
smith,66
smyth,13
snohomish,42
snyder,20
socorro,10
solano,22
somerset,129
somervell,7
sonoma,55
southampton,13
southeast fairbanks census area,7
spalding,9
spartanburg,40
spencer,27
spink,15
spokane,59
spotsylvania,16
st. bernard parish,6
st. charles,18
st. charles parish,11
st. clair,98
st. croix,19
st. croix island,3
st. francis,14
st. francois,17
st. helena parish,8
st. james parish,9
st. john island,1
st. john the baptist parish,7
st. johns,16
st. joseph,46
st. landry parish,20
st. lawrence,54
st. louis,107
st. louis city,38
st. lucie,23
st. martin parish,10
st. mary's,29
st. mary parish,11
st. tammany parish,22
st. thomas island,1
stafford,21
stanislaus,33
stanley,3
stanly,13
stanton,13
stark,70
starke,11
starr,12
staunton city,3
ste. genevieve,8
stearns,39
steele,23
stephens,17
stephenson,19
sterling,1
steuben,51
stevens,35
stewart,14
stillwater,14
stoddard,14
stokes,16
stone,44
stonewall,2
storey,5
story,25
strafford,24
stutsman,21
sublette,6
suffolk,163
suffolk city,11
sullivan,142
sully,6
summers,19
summit,69
sumner,31
sumter,50
sunflower,16
surry,23
susquehanna,33
sussex,68
sutter,16
